Datetime,Open,High,Low,Close,Volume,Returns,MA_20,MA_50
2025-11-10 15:19:00+00:00,287.8800048828125,287.8999938964844,287.6300048828125,287.7799987792969,38017,-0.00038214548453507913,288.27911987304685,287.42690185546877
2025-11-10 15:20:00+00:00,287.79998779296875,288.05999755859375,287.7300109863281,288.0450134277344,38500,0.000920893215517582,288.2134948730469,287.52430236816406
2025-11-10 15:21:00+00:00,288.0299987792969,288.2250061035156,287.760009765625,287.9731140136719,40806,-0.0002496117298018685,288.1694000244141,287.61696472167966
2025-11-10 15:22:00+00:00,287.9200134277344,288.4200134277344,287.8599853515625,288.3299865722656,58299,0.001239256518151155,288.17989959716795,287.71706420898437
2025-11-10 15:23:00+00:00,288.3500061035156,288.510009765625,287.989990234375,288.010009765625,57468,-0.0011097590314645966,288.1723999023437,287.79592468261717
2025-11-10 15:24:00+00:00,287.9901123046875,288.0199890136719,287.6700134277344,287.67999267578125,41315,-0.001145852847657336,288.1323989868164,287.86912658691404
2025-11-10 15:25:00+00:00,287.70001220703125,287.94000244140625,287.6650085449219,287.70001220703125,29954,6.958958481528832e-05,288.08489990234375,287.9245831298828
2025-11-10 15:26:00+00:00,287.70001220703125,288.0,287.55999755859375,287.9825134277344,55081,0.0009819298182713876,288.06402587890625,287.95983337402345
2025-11-10 15:27:00+00:00,287.9800109863281,288.07000732421875,287.8299865722656,287.9549865722656,30453,-9.55851629361737e-05,288.03677520751955,287.9834332275391
2025-11-10 15:28:00+00:00,287.9800109863281,288.1260986328125,287.9200134277344,287.9460144042969,23858,-3.115823092891823e-05,288.0085754394531,288.0013537597656
2025-11-10 15:29:00+00:00,287.94000244140625,288.07000732421875,287.8399963378906,287.8797912597656,73215,-0.00022998458467382576,287.97081451416017,288.0199493408203
2025-11-10 15:30:00+00:00,287.8550109863281,288.2699890136719,287.8550109863281,288.24560546875,43236,0.001270718612736088,287.95110473632815,288.0396612548828
2025-11-10 15:31:00+00:00,288.2550048828125,288.33990478515625,288.1000061035156,288.1199951171875,45148,-0.0004357754261621327,287.9426040649414,288.04166137695313
2025-11-10 15:32:00+00:00,288.0899963378906,288.3299865722656,288.04998779296875,288.3299865722656,40249,0.0007288333286021853,287.9521026611328,288.0526611328125
